id,name,latitude,longitude,country_code
w1322956453,Spitali i Tepelenës,40.295296,20.014679,AL
w1323023134,"Spitali Rajonal ""Omer Nishani""",40.083928,20.141783,AL
w1323027415,Materniteti,39.873427,20.004291,AL
w1330765438,Spitali GVM Tiranë (Villa Maria),41.36848,19.702898,AL
w1431675654,Urgjenca-Burrel,41.613886,20.012337,AL
w1431675656,Emergency Health Centre,41.61468,20.012446,AL
w1493876871,Spitali Përmet,40.236355,20.350234,AL
r7391032,Spitali Krujë,41.515924,19.790066,AL
n951467448,Emergency Health Centre,36.407699,4.891713,DZ
n956483907,Polyclinique Les Sources,36.733876,3.058232,DZ
n997906595,Polyclinque d'Assa,35.041348,-1.783457,DZ
n1002745999,polyclinique Khouriba,35.03289,-1.768765,DZ
n1108826624,Hôpital Arassa,36.424901,4.824045,DZ
n1801881869,Urgences médicale,36.892095,4.126492,DZ
n2187606087,Centre de Soin Illilten,36.512858,4.420792,DZ
n2328372813,Hôpital Dellys,36.91687,3.895226,DZ
n2328372835,Urgences,36.917174,3.894826,DZ
n2417967761,hôpital guemar,33.493871,6.79955,DZ
n2463703593,Emergency Health Centre,36.157203,3.141392,DZ
n2463708208,Emergency Health Centre,36.213407,3.126109,DZ
n2464435014,Ahmed Ouroua,36.53695,6.715447,DZ
n2482469616,المؤسسة العمومية للصحة الجوارية دبداب,29.966699,9.424503,DZ
n2501108066,Emergency Health Centre,36.364228,4.269679,DZ
n2501108184,Emergency Health Centre,36.364671,4.269033,DZ
n2504392706,établissements publics de santé de proximité المؤسسة العموممية للصحة الجوارية,35.924168,5.293036,DZ
n2504392717,Hôpital Mohammed Boudiaf,35.913485,5.288055,DZ
n2504413800,Emergency Health Centre,35.81043,5.105472,DZ
n2524668150,Cabinet medical,36.68965,3.360944,DZ
n2529685544,Emergency Health Centre,36.674569,3.335076,DZ
n2583586947,مدرسة التكوين شبه الطبي,35.794395,7.393176,DZ
n2611489768,Centre de reéducation fonctionnelle,34.682224,3.247278,DZ
n2614323294,Centre de Soins,35.456624,2.892273,DZ
n2744651460,Hôpital des brûlés,36.772195,3.056717,DZ
n2794486908,centre ta3 l karia,35.654998,0.062499,DZ
n2816973274,Clinique du Cœur;مصحة القلب,36.191347,5.386346,DZ
n2829858046,Emergency Health Centre,22.798273,5.527863,DZ
n2947184170,EPH Sougueur,35.186643,1.491541,DZ
n3004200407,Parnet,36.736692,3.103839,DZ
n3061964490,Clinique des Orchidées,36.736083,3.033,DZ
n3123811827,قاعة علاج برج القائد,36.821818,6.505678,DZ
n3159366138,Emergency Health Centre,35.925665,4.37826,DZ
n3195277059,Hopital 20 Lits;مستشفى 120 سرير,26.515757,8.489547,DZ
n3210147239,Emergency Health Centre,35.882914,5.02291,DZ
n3224471677,قاعة علاج كشيدة عمر,34.421313,5.052932,DZ
n3287397600,Emergency Health Centre,36.122272,0.744262,DZ
n3290834192,Emergency Health Centre,36.359923,2.766299,DZ
n3325160486,Emergency Health Centre,35.069494,-1.139237,DZ
n3329495501,المؤسسة العمومية للصحة الجوارية تينركوك,29.707498,0.7203,DZ
n3334397403,Rouchai Boualem,36.752197,3.067044,DZ
n3379407780,UMC (Urgences Médico-Chirurgicales),34.66294,3.265509,DZ
n3421870365,Polyclinique Aboubakr Belkaïd,35.311107,-1.141751,DZ
n3421890284,Dispensaire Ammour Ahmed,35.300432,-1.131621,DZ
n3424490567,مستشقى بلدية الشارف,34.618924,2.806977,DZ
n3484023513,Emergency Health Centre,35.98206,2.958912,DZ
n3513574205,Hôpital Hakim Saâdane,34.840211,5.730381,DZ
n3617968695,مصلحة الوقاية والطب الوقائي,27.871525,-0.282852,DZ
n3620491669,قاعة علاج بني وازل,27.96345,-0.4253,DZ
n3620502356,العيادة متعددة الخدمات بودة المنصور,27.955481,-0.424646,DZ
n3620548260,قاعة علاج بودة بندراعو,28.009208,-0.426443,DZ
